 Frames  X Position (px)  Y Position (px)  Angle (deg)
   1    30.422222        39.422222        260.091041  
   2    30.645833        39.500000        265.989318  
   3    30.777778        39.222222        269.777696  
   4    31.571429        38.809524        286.213624  
   5    32.500000        38.645833        300.902425  
   6    33.000000        39.500000        317.779890  
   7    32.166667        39.444444        303.768300  
   8    30.500000        40.354167        256.052595  
   9    30.215686        40.372549        243.311772  
  10    29.577778        40.422222        221.938885  
  11    30.500000        41.500000        181.670773  
  12    30.577778        41.422222        202.411462  
  13    29.428571        40.809524        207.229390  
  14    29.577778        39.577778        237.946506  
  15    29.500000        39.500000        237.354520  
  16    30.500000        40.000000        259.239860  
  17    30.000000        41.000000        212.872049  
  18    30.000000        40.809524        221.617048  
  19    30.500000        39.645833        261.250678  
  20    30.809524        39.428571        270.630179  
  21    30.733333        39.000000        268.782376  
  22    30.354167        39.500000        257.847481  
  23    30.190476        39.571429        252.892071  
  24    30.422222        39.422222        260.091041  
  25    30.393939        38.939394        261.308689  
  26    31.422222        38.577778        282.236599  
  27    31.577778        38.577778        285.107249  
  28    31.500000        38.645833        283.993287  
  29    31.500000        39.354167        288.322064  
  30    31.645833        39.500000        293.161445  
  31    30.422222        39.422222        260.091041  
  32    29.777778        39.222222        246.188195  
  33    29.777778        39.222222        246.188195  
  34    30.222222        39.222222        256.131567  
  35    29.666667        38.743590        247.947623  
  36    30.577778        38.577778        265.923278  
  37    31.500000        38.500000        283.339778  
  38    31.500000        38.500000        283.339778  
  39    31.500000        38.500000        283.339778  
  40    31.809524        38.571429        289.202223  
  41    32.333333        38.743590        299.223790  
  42    32.422222        38.577778        299.166121  
  43    33.422222        38.577778        311.966135  
  44    34.333333        39.256410        327.586690  
  45    34.422222        39.577778        332.030550  
  46    35.333333        40.743590        350.451988  
  47    35.422222        41.577778          0.857926  
  48    35.422222        41.577778          0.857926  
  49    35.422222        41.577778          0.857926  
  50    35.422222        41.577778          0.857926  
  51    35.500000        42.500000         11.881140  
  52    35.354167        43.500000         23.559317  
  53    35.422222        44.422222         32.152928  
  54    34.568627        44.568627         38.978763  
  55    33.577778        45.577778         55.554568  
  56    33.645833        45.500000         54.386216  
  57    33.809524        45.428571         52.364167  
  58    33.645833        45.500000         54.386216  
  59    33.577778        45.577778         55.554568  
  60    33.000000        46.190476         64.698735  
  61    32.422222        46.422222         71.590024  
  62    32.422222        46.422222         71.590024  
  63    31.645833        46.500000         80.233667  
  64    31.645833        46.500000         80.233667  
  65    30.577778        46.422222         92.433967  
  66    30.500000        46.354167         93.385319  
  67    29.733333        46.000000        103.197705  
  68    29.266667        46.000000        108.695941  
  69    28.577778        45.422222        119.439127  
  70    28.422222        44.577778        127.607694  
  71    28.256410        44.333333        131.849792  
  72    27.577778        43.577778        147.181825  
  73    27.571429        42.809524        157.967381  
  74    27.500000        43.500000        148.785027  
  75    27.500000        43.000000        155.589169  
  76    27.577778        41.422222        181.537679  
  77    27.711111        41.044444        188.577879  
  78    28.422222        40.422222        204.672485  
  79    28.500000        40.500000        203.796419  
  80    28.060606        40.606061        198.314178  
  81    28.266667        40.000000        210.903072  
  82    28.500000        40.000000        213.410384  
  83    28.500000        40.000000        213.410384  
  84    28.777778        39.777778        220.743945  
  85    29.000000        39.733333        224.813072  
  86    29.500000        39.500000        237.354520  
  87    29.500000        39.500000        237.354520  
  88    29.733333        39.000000        247.221422  
  89    29.733333        39.000000        247.221422  
  90    29.577778        39.422222        239.908683  
  91    29.733333        39.000000        247.221422  
  92    29.733333        39.000000        247.221422  
  93    29.577778        39.422222        239.908683  
  94    28.733333        40.000000        216.300936  
  95    29.000000        40.000000        220.172424  
  96    29.500000        39.500000        237.354520  
  97    29.500000        39.500000        237.354520  
  98    29.500000        39.500000        237.354520  
  99    29.422222        39.577778        234.749520  
 100    28.743590        39.666667        222.032766  
 101    28.743590        39.666667        222.032766  
 102    28.743590        39.666667        222.032766  
 103    28.743590        39.666667        222.032766  
 104    28.939394        39.606061        225.841090  
 105    29.074074        39.629630        227.648995  
 106    29.074074        39.370370        231.304567  
 107    28.577778        39.577778        221.153913  
 108    28.577778        39.577778        221.153913  
 109    28.577778        39.577778        221.153913  
 110    28.577778        39.577778        221.153913  
 111    28.500000        39.645833        219.163616  
 112    28.645833        39.500000        223.171578  
 113    28.500000        39.645833        219.163616  
 114    28.500000        39.645833        219.163616  
 115    29.222222        39.222222        235.615809  
 116    30.266667        39.000000        258.288510  
 117    29.500000        39.500000        237.354520  
 118    29.500000        39.500000        237.354520  
 119    29.500000        39.500000        237.354520  
 120    29.500000        39.500000        237.354520  
 121    28.733333        40.000000        216.300936  
 122    28.733333        40.000000        216.300936  
 123    28.733333        40.000000        216.300936  
 124    29.000000        39.500000        228.343552  
 125    29.500000        39.500000        237.354520  
 126    30.000000        39.000000        252.588038  
 127    29.733333        39.000000        247.221422  
